;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
CDIP1;0.003464021;0.020854976;0.0018895256;0.0022180383;0.0010817319;0.0042577735;0.00028222054;0.008597659;5.52071e-06;12.230005;0.03174907;0.00052927673;9.343201e-05;0.0006743183;1.1378923e-05;0.0026517152;0.000112760565;4.291919e-05;7.841483e-07;0.032397337;1.2043041e-06;0.020538574;0.011696367
CDKL5;0.017152008;0.7080211;0.00969879;0.07884696;0.120953575;0.0016618312;0.028486583;0.026495842;0.030163124;0.023846693;0.23528208;0.013877803;0.0003332081;0.05137204;2.0252648e-05;0.05619708;0.0002535366;0.0068216342;6.594043e-06;0.26021034;6.874263e-05;0.12105256;0.002390812
CDKN2A;0.027271127;0.32304335;0.0064597433;0.08510468;0.061535247;0.008352365;0.016628876;0.0139928665;0.018794892;0.0948945;0.16722646;0.005256439;0.00042488793;0.033944357;2.4701376e-05;0.14208595;0.0016528837;0.00027620455;5.0042786e-06;0.33881605;2.673644e-05;0.03832797;0.01766945
CDKN2AIP;0.013416131;0.11106609;4.4763357e-05;0.2621841;0.1187038;0.00036208687;0.017200205;0.030137286;0.015005298;0.005713313;1.1255004;0.000522179;3.9778974e-06;0.04101264;0.00017651655;0.041286327;0.00013536133;0.006267571;4.654315e-06;1.494615;1.9985599e-05;0.041597746;0.008622384
CDYL2;0.0020424782;0.04777072;0.0009970636;0.013661209;0.007644689;0.0012566221;0.000751797;0.011972378;1.6707603e-05;9.480166;0.017643757;0.0023066495;0.00020913548;0.0021104557;1.4947994e-05;0.018404081;1.9785422e-05;0.0025591322;5.172857e-06;0.014294104;1.7984173e-06;0.09078835;0.012152837
CEACAM19;0.019100657;0.011207784;1.9045268e-05;0.013165698;0.0013594263;0.003212609;0.0074380357;0.00016873646;1.3133948e-05;12.287237;0.0020468873;0.001210071;8.144013e-06;0.0072444067;4.822407e-05;0.0018159217;0.00076106976;9.398573e-05;1.7202023e-05;0.0016371321;9.763459e-07;0.04174291;0.021398146
CEBPD;0.00469208;1.077085;0.007628171;0.6440422;0.7756972;9.432684e-05;0.0012860913;0.50988686;0.017366525;0.0033100913;0.035671946;0.11338054;0.00072690326;0.010363828;3.73096e-06;0.062232714;6.289347e-06;0.029944863;1.650144e-06;0.04238012;0.00017709573;0.0050257454;0.009992386
CELF4;0.013044351;0.42443153;0.013580273;0.06836449;0.046888206;0.013088083;0.020984763;0.018796839;0.015571354;0.057130266;0.29105535;0.004680739;0.00037766437;0.03832362;1.7293916e-05;0.12858844;8.6478976e-05;0.015541424;2.4618382e-06;0.31585097;9.710915e-05;0.03925888;0.0073785787
CENPVL3;0.013713808;0.12121458;0.007372245;0.15798858;0.059023574;0.0022481265;0.019041264;0.03789081;0.001667625;1.2547506;0.1420118;0.024872433;0.00054082356;0.029010748;6.1777405e-06;0.047425408;4.027445e-05;0.011298997;2.1131755e-06;0.2749317;0.000116463954;0.027820148;0.0024104756
CEP15;0.003784443;0.02858072;0.00012878083;0.019997962;0.0034217453;0.00213034;0.0063370224;0.0019593097;5.0354243e-05;6.2155643;0.0017047101;0.00074335263;6.2117565e-06;0.009512067;1.7687285e-06;0.02289534;4.8015012e-05;0.00023653709;1.0766423e-06;0.0089265155;4.963878e-06;0.014589754;0.0054038176
